"Config 0x000A","Instance","OverallObjective","Run #1"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_0.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_1.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_2.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_3.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_4.cnf","545.769","545.769"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_5.cnf","414.07","414.07"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_6.cnf","438.358","438.358"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_7.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_8.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_9.cnf","111.923","111.923"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_10.cnf","746.545","746.545"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_11.cnf","338.7","338.7"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_12.cnf","812.97","812.97"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_13.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_14.cnf","580.02","580.02"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_15.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_16.cnf","198.77","198.77"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_17.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_18.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_19.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_20.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_21.cnf","594.624","594.624"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_22.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_23.cnf","121.599","121.599"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_24.cnf","175.01","175.01"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_25.cnf","172.09","172.09"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_26.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_27.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_28.cnf","659.77","659.77"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_29.cnf","895.87","895.87"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_30.cnf","192.138","192.138"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_31.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_32.cnf","460.49","460.49"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_33.cnf","799.28","799.28"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_34.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_35.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_36.cnf","137.62","137.62"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_37.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_38.cnf","776.83","776.83"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_39.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_40.cnf","825.986","825.986"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_41.cnf","85.537","85.537"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_42.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_43.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_44.cnf","865.87","865.87"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_45.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_46.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_47.cnf","171.04","171.04"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_48.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_49.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_50.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_51.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_52.cnf","896.267","896.267"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_53.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_54.cnf","754.063","754.063"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_55.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_56.cnf","194.17","194.17"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_57.cnf","751.166","751.166"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_58.cnf","402.01","402.01"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_59.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_60.cnf","199.4","199.4"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_61.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_62.cnf","81.1","81.1"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_63.cnf","163.99","163.99"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_64.cnf","596.33","596.33"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_65.cnf","45.0442","45.0442"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_66.cnf","898.02","898.02"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_67.cnf","10000.0","1000.0"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_68.cnf","665.06","665.06"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_69.cnf","406.138","406.138"
"","./instances/Sat_Data/k_num_6_first80vars_1000sec/cnf_unresolved_k_num_6_70.cnf","791.21","791.21"
