Instance plingeling2016 treengeling2016 PDSAT_improved_GDA PDSAT_trivial_GDA
ASG_72_keystream76_0.cnf 1258.65 923.969 31 144
ASG_72_keystream76_1.cnf 2772.62 2538.63 15 65
ASG_72_keystream76_10.cnf 6569.88 818.673 26 8
ASG_72_keystream76_11.cnf 1315.95 2169.64 1 39
ASG_72_keystream76_12.cnf 5775.35 1275.2 17 122
ASG_72_keystream76_13.cnf 342.804 2708.46 22 108
ASG_72_keystream76_14.cnf 3875.79 1095.33 5 58
ASG_72_keystream76_15.cnf 7877.5 4427.99 20 31
ASG_72_keystream76_16.cnf 3603.2 3282.32 4 3
ASG_72_keystream76_17.cnf 617.277 4002.06 29 61
ASG_72_keystream76_18.cnf 2154.94 1770.51 6 107
ASG_72_keystream76_19.cnf 221.814 1213.57 32 32
ASG_72_keystream76_2.cnf 1430.35 569.124 4 49
ASG_72_keystream76_3.cnf 2977.58 2165.66 13 146
ASG_72_keystream76_4.cnf 200.879 675.171 8 129
ASG_72_keystream76_5.cnf 2715.37 1681.79 34 137
ASG_72_keystream76_6.cnf 713.237 3407.6 8 9
ASG_72_keystream76_7.cnf 6249.25 1545.37 25 118
ASG_72_keystream76_8.cnf 1294.62 1224.06 18 60
ASG_72_keystream76_9.cnf 3230.46 2444.31 6 83
