Instance plingeling2016 treengeling2016
MASG_72_keystream76_0.cnf 5000.08 2891.83
MASG_72_keystream76_1.cnf 3254.21 5000.17
MASG_72_keystream76_10.cnf 5000.09 1832.58
MASG_72_keystream76_11.cnf 5000.05 5000.08
MASG_72_keystream76_12.cnf 62.6263 1548.89
MASG_72_keystream76_13.cnf 5000.07 2924.17
MASG_72_keystream76_14.cnf 1736.69 706.228
MASG_72_keystream76_15.cnf 2923.58 1929.81
MASG_72_keystream76_16.cnf 5000.08 1078.41
MASG_72_keystream76_17.cnf 31.825 5000.16
MASG_72_keystream76_18.cnf 190.736 4849.65
MASG_72_keystream76_19.cnf 5000.06 5000.1
MASG_72_keystream76_2.cnf 5000.05 2678.78
MASG_72_keystream76_3.cnf 5000.06 702.729
MASG_72_keystream76_4.cnf 5000.06 984.408
MASG_72_keystream76_5.cnf 2274.15 4353.06
MASG_72_keystream76_6.cnf 5000.16 5000.07
MASG_72_keystream76_7.cnf 4682.43 4714.76
MASG_72_keystream76_8.cnf 2890.99 2658.37
MASG_72_keystream76_9.cnf 3233.65 5000.13
