Instance plingeling2016 treengeling2016
MASG0_72_keystream76_0.cnf 5000.2 525.873
MASG0_72_keystream76_1.cnf 5000.19 1687.57
MASG0_72_keystream76_10.cnf 2657.75 1561.14
MASG0_72_keystream76_11.cnf 5000.19 5000.14
MASG0_72_keystream76_12.cnf 778.459 5000.1
MASG0_72_keystream76_13.cnf 2879.21 627.981
MASG0_72_keystream76_14.cnf 5000.18 5000.13
MASG0_72_keystream76_15.cnf 5000.2 5000.1
MASG0_72_keystream76_16.cnf 5000.2 5000.09
MASG0_72_keystream76_17.cnf 1562.9 700.62
MASG0_72_keystream76_18.cnf 5000.1 5000.14
MASG0_72_keystream76_19.cnf 2061.26 420.509
MASG0_72_keystream76_2.cnf 5000.09 1764.85
MASG0_72_keystream76_3.cnf 3530.72 4694.92
MASG0_72_keystream76_4.cnf 5000.08 349.595
MASG0_72_keystream76_5.cnf 240.257 5000.37
MASG0_72_keystream76_6.cnf 2167.79 2640.05
MASG0_72_keystream76_7.cnf 5000.19 1592.03
MASG0_72_keystream76_8.cnf 5000.19 969.351
MASG0_72_keystream76_9.cnf 1579.98 4142.02
