Instance abcdsat CryptoMiniSat5 Lingeling MapleCOMSPS MiniSat2.2 Riss6 Rokk
Volfram64_0.cnf 1.788 1.35277 3.8 0.028 0.644 0.464 0.668
Volfram64_1.cnf 1.824 1.44058 6.5 0.416 0.28 0.368 0.3
Volfram64_10.cnf 2.308 1.32387 6.4 0.956 0.612 0.76 0.716
Volfram64_11.cnf 1.168 0.828552 3.5 0.984 1.44 0.56 1.172
Volfram64_12.cnf 3.192 1.94342 13.2 3.1 2.104 2.892 1.196
Volfram64_13.cnf 3.636 2.56415 10.5 2.992 0.228 2.22 0.332
Volfram64_14.cnf 3.484 0.420224 3.7 0.412 0.064 0.448 0.092
Volfram64_15.cnf 1.58 1.91509 8.9 0.196 1.14 0.472 1.52
Volfram64_16.cnf 1.644 0.200169 4 0.568 0.26 0.852 0.76
Volfram64_17.cnf 2.348 1.77552 3.4 3.392 3.972 1.204 1.164
Volfram64_18.cnf 2.572 0.97357 5.4 0.712 1.12 0.62 1.596
Volfram64_19.cnf 2.536 1.05941 2.4 2.636 1.892 0.392 1.308
Volfram64_2.cnf 3.012 1.09122 8.9 2.796 2.488 0.692 3.184
Volfram64_20.cnf 2.34 0.37781 7.7 1.132 0.62 0.932 0.748
Volfram64_21.cnf 1.54 0.528186 5.9 0.476 0.232 0.796 0.312
Volfram64_22.cnf 1.208 0.325623 5.4 2.244 0.188 0.6 0.32
Volfram64_23.cnf 2.32 1.7153 6.1 1.16 1.216 1.628 0.96
Volfram64_24.cnf 1.292 0.73809 4.9 0.156 0.316 0.176 0.352
Volfram64_25.cnf 3.692 0.942398 6.6 0.516 1.596 2.06 1.964
Volfram64_26.cnf 2.056 2.33335 6.3 0.812 0.26 1.2 0.444
Volfram64_27.cnf 2.272 0.715525 4.9 0.888 1.304 0.836 1.072
Volfram64_28.cnf 2.024 0.667286 4.9 0.74 0.836 0.116 1.176
Volfram64_29.cnf 2.164 2.22153 2.9 0.972 1.216 1.524 1.88
Volfram64_3.cnf 2.876 1.06248 6.7 0.316 0.244 2.176 0.324
Volfram64_30.cnf 1.788 1.57621 5.6 0.708 0.456 1.084 0.616
Volfram64_31.cnf 1.004 0.453037 3.6 0.62 0.02 0.588 0.028
Volfram64_32.cnf 1.98 0.701153 10.8 4.26 3.256 1.988 2.708
Volfram64_33.cnf 1.04 0.964473 5 0.536 0.12 0.364 0.132
Volfram64_34.cnf 1.916 1.07056 9.8 6.952 1.068 2.52 1.084
Volfram64_35.cnf 1.872 0.383271 5.5 0.924 0.74 1.028 0.804
Volfram64_36.cnf 1.436 1.45869 3.4 0.624 0.548 2.136 0.54
Volfram64_37.cnf 1.584 2.57864 8.9 1.348 1.208 0.484 4.196
Volfram64_38.cnf 0.984 1.59153 5.6 0.98 0.224 1.544 0.244
Volfram64_39.cnf 2.52 0.972931 7.6 2.976 1 2.796 1.268
Volfram64_4.cnf 1.664 1.28964 6.5 1.172 0.72 0.408 0.908
Volfram64_40.cnf 1.64 0.715292 2.6 0.296 1.204 1.148 1.24
Volfram64_41.cnf 1.304 0.372386 2.9 0.388 0.164 0.228 0.22
Volfram64_42.cnf 2.084 0.108433 4.2 1.408 0.076 1.104 0.116
Volfram64_43.cnf 1.376 0.678608 7 1.704 0.728 0.668 0.996
Volfram64_44.cnf 0.98 0.330211 2.5 0.312 0.144 0.336 0.172
Volfram64_45.cnf 1.66 0.169161 4.6 0.48 0.272 0.292 0.3
Volfram64_46.cnf 1.96 2.28675 3.4 0.932 1.672 0.644 1
Volfram64_47.cnf 1.88 2.46759 5 2.376 1.204 0.776 2.98
