benchmark,benchmark_id,solver,configuration,configuration_id,status,cpu_time,result,_checker_status,_checker_cpu_time,_checker_memory,_checker_result
10pipe_k,2887257,GHackCOMSPS_DRUP,ghack_drup,153211,complete,543.341,UNSAT,complete,724.623,2874920.0,UNSAT-VERIFIED
10pipe_k,2887257,Scavel_SAT,default,154175,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
10pipe_k,2887257,Beans_And_Eggs,default,154732,complete,1356.55,UNSAT,complete,4175.63,6132044.0,UNSAT-VERIFIED
10pipe_k,2887257,cmsat5_main2,default,154241,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
10pipe_k,2887257,cmsat5_autotune2,default,154243,complete,1295.36,UNSAT,complete,19810.5,6128800.0,UNSAT-VERIFIED
10pipe_k,2887257,YalSAT_03r,default,154460,timeout_cpu,4998.83,UNKNOWN,enqueued,0.0,0.0,--
10pipe_k,2887257,Lingeling_bbc_main,default,154468,complete,409.006,UNSAT,complete,337.55,787356.0,UNSAT-VERIFIED
10pipe_k,2887257,glucose,default,154473,complete,445.91,UNSAT,complete,1342.44,2020896.0,UNSAT-VERIFIED
10pipe_k,2887257,CHBR_glucose,default,154584,complete,1002.42,UNSAT,complete,3810.94,9016136.0,UNSAT-VERIFIED
10pipe_k,2887257,CHBR_glucose_tuned,default,154586,complete,1007.56,UNSAT,complete,3761.71,9016136.0,UNSAT-VERIFIED
10pipe_k,2887257,tb_glucose,default,154588,complete,1333.13,UNSAT,complete,2884.35,1.3345432E7,UNSAT-VERIFIED
10pipe_k,2887257,COMiniSatPS_Chandrasekhar_DRUP,drup,154592,complete,610.617,UNSAT,complete,1109.89,4202624.0,UNSAT-VERIFIED
10pipe_k,2887257,MapleCOMSPS_CHB_DRUP,CHB_VSIDS_drup,154594,complete,524.535,UNSAT,complete,409.933,6051756.0,UNSAT-VERIFIED
10pipe_k,2887257,MapleCOMSPS_LRB_DRUP,LRB_VSIDS_drup,154596,complete,491.934,UNSAT,complete,283.869,4157424.0,UNSAT-VERIFIED
10pipe_k,2887257,MapleCOMSPS_DRUP,seq_LRB_VSIDS_drup,154598,complete,2830.49,UNSAT,complete,667.28,1.341098E7,UNSAT-VERIFIED
10pipe_k,2887257,Splatz_06v_main,default,154625,complete,280.659,UNSAT,complete,241.191,814152.0,UNSAT-VERIFIED
10pipe_k,2887257,Glucose_nbSat,default,155265,complete,1050.65,UNSAT,complete,2191.07,6130980.0,UNSAT-VERIFIED
10pipe_k,2887257,MapleCMS,default,154687,complete,599.77,UNSAT,complete,3489.24,1117456.0,UNSAT-VERIFIED
10pipe_k,2887257,MapleGlucose,default,154710,complete,3423.66,UNSAT,complete,5665.32,1.341704E7,UNSAT-VERIFIED
14pipe_q0_k,2887127,glue_alt,default,152939,complete,3824.95,UNSAT,complete,1093.77,3183160.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,GHackCOMSPS_DRUP,ghack_drup,153211,complete,1538.96,UNSAT,complete,691.909,3037096.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,glucosePLE,default,153967,complete,1665.82,UNSAT,complete,830.846,1658928.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,abcdSAT_drup,default,154067,complete,1820.88,UNSAT,complete,892.756,3050940.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,Scavel_SAT,default,154175,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
14pipe_q0_k,2887127,glucose_hack_kiel_newScript,main_new,154744,complete,1980.3,UNSAT,complete,2020.75,2186804.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,Beans_And_Eggs,default,154732,complete,1717.44,UNSAT,complete,1375.5,2183124.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,cmsat5_main2,default,154241,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
14pipe_q0_k,2887127,cmsat5_autotune2,default,154243,complete,4654.55,UNSAT,timeout_cpu,19988.7,6355460.0,--
14pipe_q0_k,2887127,glueminisat-2.2.10-81-main,maintrack,154247,complete,1430.67,UNSAT,complete,441.51,1543524.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,gulch,default,154330,complete,1955.05,UNSAT,complete,953.964,2114760.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,YalSAT_03r,default,154460,timeout_cpu,4999.99,UNKNOWN,enqueued,0.0,0.0,--
14pipe_q0_k,2887127,Lingeling_bbc_main,default,154468,complete,866.048,UNSAT,complete,219.516,1551084.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,glucose,default,154473,complete,1242.35,UNSAT,complete,670.317,1544620.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,CHBR_glucose,default,154584,complete,1357.71,UNSAT,complete,868.385,2183096.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,CHBR_glucose_tuned,default,154586,complete,1354.3,UNSAT,complete,887.331,2183096.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,tb_glucose,default,154588,complete,1689.72,UNSAT,complete,1033.15,2184968.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,tc_glucose,default,154590,complete,1761.45,UNSAT,complete,1109.34,2184964.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,COMiniSatPS_Chandrasekhar_DRUP,drup,154592,complete,1570.38,UNSAT,complete,860.718,3036408.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,MapleCOMSPS_CHB_DRUP,CHB_VSIDS_drup,154594,complete,1369.89,UNSAT,complete,297.828,1609392.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,MapleCOMSPS_LRB_DRUP,LRB_VSIDS_drup,154596,complete,2223.7,UNSAT,complete,359.454,4317808.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,MapleCOMSPS_DRUP,seq_LRB_VSIDS_drup,154598,complete,3463.73,UNSAT,complete,456.523,9130472.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,Splatz_06v_main,default,154625,complete,493.023,UNSAT,complete,255.772,1710612.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,Riss6,noPP_DRAT,154658,complete,2679.78,UNSAT,complete,1770.98,3043432.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,Glucose_nbSat,default,155265,complete,1886.28,UNSAT,complete,1690.29,2298832.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,MapleCMS,default,154687,complete,1189.68,UNSAT,complete,1133.96,1619140.0,UNSAT-VERIFIED
14pipe_q0_k,2887127,MapleGlucose,default,154710,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,glue_alt,default,152939,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,GHackCOMSPS_DRUP,ghack_drup,153211,timeout_cpu,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,abcdSAT_drup,default,154067,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,glucose_hack_kiel_newScript,main_new,154744,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,Beans_And_Eggs,default,154732,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,cmsat5_main2,default,154241,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,glueminisat-2.2.10-81-main,maintrack,154247,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,gulch,default,154330,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,YalSAT_03r,default,154460,timeout_cpu,5012.17,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,Lingeling_bbc_main,default,154468,timeout_wallclock,5000.01,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,glucose,default,154473,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,CHBR_glucose,default,154584,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,CHBR_glucose_tuned,default,154586,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,tb_glucose,default,154588,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,tc_glucose,default,154590,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,COMiniSatPS_Chandrasekhar_DRUP,drup,154592,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,MapleCOMSPS_CHB_DRUP,CHB_VSIDS_drup,154594,timeout_cpu,4997.72,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,MapleCOMSPS_LRB_DRUP,LRB_VSIDS_drup,154596,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,MapleCOMSPS_DRUP,seq_LRB_VSIDS_drup,154598,timeout_cpu,4999.44,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,Splatz_06v_main,default,154625,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,Glucose_nbSat,default,155265,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
16pipe_16_ooo,2887035,MapleCMS,default,154687,timeout_wallclock,5000.02,UNKNOWN,enqueued,0.0,0.0,--
1dlx_c_iq57_a,2886984,glue_alt,default,152939,complete,2113.95,UNSAT,complete,693.736,1269900.0,UNSAT-VERIFIED
1dlx_c_iq57_a,2886984,GHackCOMSPS_DRUP,ghack_drup,153211,complete,923.761,UNSAT,complete,737.613,1216756.0,UNSAT-VERIFIED
1dlx_c_iq57_a,2886984,glucosePLE,default,153967,complete,1138.22,UNSAT,complete,717.885,1004716.0,UNSAT-VERIFIED
1dlx_c_iq57_a,2886984,abcdSAT_drup,default,154067,complete,1413.92,UNSAT,complete,676.845,1169260.0,UNSAT-VERIFIED
1dlx_c_iq57_a,2886984,glucose_hack_kiel_newScript,main_new,154744,complete,1100.63,UNSAT,complete,802.016,1034268.0,UNSAT-VERIFIED
1dlx_c_iq57_a,2886984,Beans_And_Eggs,default,154732,complete,1328.76,UNSAT,complete,813.226,1170932.0,UNSAT-VERIFIED
1dlx_c_iq57_a,2886984,cmsat5_main2,default,154241,complete,621.514,UNSAT,complete,2490.01,1280104.0,UNSAT-VERIFIED
1dlx_c_iq57_a,2886984,cmsat5_autotune2,default,154243,complete,625.706,UNSAT,complete,2505.29,1280104.0,UNSAT-VERIFIED
1dlx_c_iq57_a,2886984,glueminisat-2.2.10-81-main,maintrack,154247,complete,1561.99,UNSAT,complete,708.452,1024708.0,UNSAT-VERIFIED
1dlx_c_iq57_a,2886984,gulch,default,154330,complete,2281.62,UNSAT,complete,898.548,1171060.0,UNSAT-VERIFIED
1dlx_c_iq57_a,2886984,YalSAT_03r,default,154460,timeout_cpu,5002.8,UNKNOWN,enqueued,0.0,0.0,--
1dlx_c_iq57_a,2886984,Lingeling_bbc_main,default,154468,complete,1533.44,UNSAT,complete,784.822,1296924.0,UNSAT-VERIFIED
